source,Recipient,Column 4,Column 5
Sam Houston,J. Pinckney Henderson,,
James Webb,Alc6e La Branche,,
David G. Burnet,Richard G. Dunlap,,
Nathaniel Amory,Richard G. Dunlap,,
David G. Burnet,Richard G. Dunlap,,
T. Dunlap,Richard G. Dunlap,,
Nathaniel Amory,Richard G. Dunlap,,
John Emberson,Albert Sidney Johnston,,
David G. Burnet,Alc6e La Branche,,
David G. Burnet,Alc6e La Branche,,
David G. Burnet,Alc6e La Branche,,
William Scurlock,David G. Burnet,,
William M. Williams,David G. Burnet,,
D. Rowlett,David G. Burnet,,
David G. Burnet,Alc6e La Branche,,
David G. Burnet,Alc6e La Branche,,
David G. Burnet,Alc6e La Branche,,
D. Rowlett,David G. Burnet,,
David G. Burnet,Richard G. Dunlap,,
Abner S. Lipscomb,Alc6e La Branche,,
Abner S. Lipscomb,James Hamilton and A. T. Bumley, ,
Joseph Waples,Barnard E. Bee,,
Abner S. Lipscomb,Geo. H. Flood,,
Joseph Waples,Nathaniel Amory,,
Joseph Waples,Geo. H. Flood,,
Joseph Waples,Geo. H. Flood,,
Joseph Waples,Geo. H. Flood,,
James S. Mayfield,Geo. H. Flood,,
James S. Mayfield,Barnard E. Bee,,
James S. Mayfield,Barnard E. Bee,,
Geo. H. Flood,James S. Mayfield,,
James S. Mayfield,Geo. H. Flood,,
Geo. H. Flood,James S. Mayfield,,
James S. Mayfield,Barnard E. Bee,,
James S. Mayfield,Nathaniel Amory,,
Samuel A. Roberts,Barnard E. Bee,,
Samuel A. Roberts,Barnard E. Bee,,
Samuel A. Roberts,Joseph Eve,,
Samuel A. Roberts,Joseph Eve,,
Samuel A. Roberts,Barnard E. Bee,,
Sam Houston,Joseph Eve,,
Sam Houston,A. B. Roman,,
Sam Houston,A. B. Roman,,
Isaac Van Zandt,Anson Jones,,
Joseph Eve,Anson Jones,,
Isaac Van Zandt,Anson Jones,,
J. C. Spencer,Isaac Van Zandt,,
T. Hartley Crawford,Wm. Armstrong,,
R. Jones,W. Davenport and G. Loomis,,
Isaac Van Zandt,Anson Jones,,
Joseph Eve,Anson Jones,,
M. E. Hale,Joseph Eve,,
Anson Jones,Isaac Van Zandt,,
Anson Jones,Joseph Eve,,
Anson Jones,Isaac Van Zandt,,
Wm. Henry Daingerfield,Anson Jones,,
Anson Jones,Isaac Van Zandt,,
Sam Houston,Joseph Eve,,
Joseph Eve,Joseph Waples,,
Joseph Eve as charg^,Texaa,,
Wm. Henry Daingerfield,Anson Jones,,
Joseph Eve,Anson Jones,,
Isaac Van Zandt,Anson Jones,,
' Daniel Webster,Isaac Van Zandt,,
Isaac Van Zandt,William S. Archer,,
Isaac Van Zandt,Anson Jones,,
Isaac Van Zandt,Daniel Webster,,
Joseph Eve,Anson Jones,,
Isaac Van Zandt,Anson Jones,,
Isaac Van Zandt,Anson Jones,,
Anson Jones,Joseph Eve,,
Joseph Eve,Anson Jones,,
Reuben M. Potter,A. M. Green,,
A. M. Green,Joseph Eve,,
Isaac Van Zandt,Anson Jones,,
Sam Houston,Joseph Eve,,
Anson Jones,Isaac Van Zandt,,
Anson Jones,Isaac Van Zandt,,
Joseph W. Robertson,Anson Jones,,
Charles H. Raymond,Anson Jones,,
Anson Jones,Joseph Eve,,
Anson Jones,Joseph Eve,,
Anson Jones,Isaac Van Zandt,,
Jesse Benton,Anson Jones,,
Isaac Van Zandt,Anson Jones,,
Petition of Joseph Cooper,the Texan minister 187,,
Anson Jones,Isaac Van Zandt,,
Joseph Eve,President of Texas [Houston],,
Anson Jones,Isaac Van Zandt,,
Isaac Van Zandt,Anson Jones,,
Anson Jones,Isaac Van Zandt,,
Anson Jones,Isaac Van Zandt,,
Isaac Van Zandt,Anson Jones,,
Isaac Van Zandt,Anson Jones,,
J. M. Porter,H. S. Legar^,,
William Armstrong,T. H. Crawford,,
William Armstrong,T. H. Crawford,,
Charles H. Raymond,Anson Jones,,
Isaac Van Zandt,Anson Jones,,
Isaac Van Zandt,Anson Jones,,
Isaac Van Zandt,Anson Jones,,
Anson Jones,Isaac Van Zandt,,
M. C. Hamilton,Jacob Snively,,
Jacob Snively,Geo. W. HUl,,
Isaac Van Zandt,Anson Jones,,
Isaac Van Zandt,Anson Jones,,
Isaac Van Zandt,Anson Jones,,
W. S. Murphy,Anson Jones,,
Anson Jones,Isaac Van Zandt,,
W. S. Murphy,Anson Jones,,
Isaac Van Zandt,Anson Jones,,
Isaac Van Zandt,Anson Jones,,
A. P. Upshur,Isaac Van Zandt,,
Anson Jones,Isaac Van Zandt,,
Anson Jones,J. Pinckney Henderson,,
Anson Jones,W. S. Murphy,,
Isaac Van Zandt,Anson Jones,,
J. H. Brower,Isaac Van Zandt,,
Isaac Van Zandt,A. P. Upshur,,
Anson Jones,Isaac Van Zandt,,
Anson Jones,Van Zandt and Henderson,,
Isaac Van Zandt,Anson Jones,,
Isaac Van Zandt,Anson Jones,,
Isaac Van Zandt,Anson Jones,,
Isaac Van Zandt,Anson Jones,,
Anson Jones,Isaac Van Zandt,,
Anson Jones,Isaac Van Zandt,,
Anson Jones,Isaac Van Zandt,,
Van Zandt and Henderson,Anson Jones,,
Sam Houston,Van Zandt and Henderson,,
Sam Houston,Van Zandt and Henderson,,
Anson Jones,Van Zandt and Henderson,,
